Date,Open,High,Low,Close,Adj Close,Volume
2020-04-27,10.420000,10.870000,10.410000,10.820000,10.820000,123157032
2020-04-28,10.850000,10.890000,10.640000,10.660000,10.660000,68485047
2020-04-29,10.630000,10.670000,10.460000,10.610000,10.610000,57922411
2020-04-30,10.670000,10.790000,10.440000,10.670000,10.670000,72282052
2020-05-04,10.500000,10.590000,10.450000,10.530000,10.530000,38133419
2020-05-05,10.590000,10.670000,10.500000,10.530000,10.530000,39428937
2020-05-06,10.550000,10.590000,10.480000,10.550000,10.550000,30910172
2020-05-07,10.560000,10.930000,10.490000,10.620000,10.620000,58244004
2020-05-08,10.670000,10.730000,10.560000,10.600000,10.600000,31971124
2020-05-11,10.660000,10.720000,10.580000,10.620000,10.620000,24366455
2020-05-12,10.580000,10.710000,10.540000,10.650000,10.650000,32378262
2020-05-13,10.640000,10.810000,10.600000,10.650000,10.650000,55608566
2020-05-14,10.610000,10.650000,10.500000,10.540000,10.540000,32041232
2020-05-15,10.600000,10.710000,10.570000,10.580000,10.580000,32498636
